CaseStudyID	UKPRN
17093	10007788
17094	10007788
17095	10007788
17096	10007788
17097	10004930
17131	10004930
17132	10004930
17133	10007788
17134	10004930
17135	10004797
17136	10004797
17137	10004797
17138	10004797
17139	10004797
17140	10004930
17141	10004797
17143	10004797
17144	10004797
17145	10005337
17151	10005337
17158	10003956
17232	10007788
17233	10007774
17234	10007788
17235	10007788
17236	10007788
17237	10004930
17238	10007788
17264	10007774
17265	10007774
17266	10007788
17267	10007774
17268	10007774
17269	10007774
17270	10007774
17271	10007788
17272	10007788
17273	10007774
17307	10007788
17308	10007774
17309	10007788
17492	10007774
17493	10004930
17494	10007774
17495	10007774
17496	10007760
17497	10000961
17498	10004797
17499	10007775
17500	10004797
17501	10007775
17502	10007775
17503	10007775
17504	10007775
17505	10004797
17506	10007788
17507	10001143
17508	10007788
17510	10007143
17511	10007143
17512	10007788
17513	10007774
17514	10007774
17517	10007774
17518	10007774
17531	10007774
17539	10007774
17588	10007774
17616	10007774
17625	10007774
17633	10007774
17634	10007788
17635	10007788
17636	10007788
17637	10007788
17638	10007788
17639	10000961
17640	10007788
17641	10007788
17642	10007788
17644	10007814
17645	10007857
17646	10007856
17646	10007857
17671	10007794
17682	10007794
17683	10007760
17684	10007760
17685	10007760
17686	10007760
17687	10007794
17837	10007775
17838	10007775
17839	10007775
17840	10007775
17841	10007775
17842	10007775
17843	10007775
17845	10007775
17846	10007775
17847	10000961
17848	10007822
17849	10007822
17850	10007822
17851	10007822
17852	10007822
17855	10007822
17856	10007822
17858	10007788
17863	10007788
17864	10007788
17892	10007788
17927	10007788
17988	10007794
18000	10007788
18001	10007788
18002	10007788
18003	10007788
18004	10007788
18005	10007788
18006	10007788
18007	10007760
18008	10007788
18009	10007760
18010	10007788
18011	10007788
18012	10007788
18013	10007788
18014	10007788
18016	10007788
18017	10007788
18018	10007775
18019	10007788
18020	10007775
18026	10007822
18027	10007775
18028	10007775
18030	10007775
18031	10007822
18032	10007775
18033	10007822
18034	10007822
18035	10003957
18036	10007760
18037	10000961
18038	10007822
18040	10007822
18041	10007760
18042	10007788
18043	10003957
18044	10003957
18045	10007774
18046	10007775
18047	10003957
18048	10003957
18049	10007774
18050	10007851
18051	10007774
18052	10007774
18053	10007851
18054	10007775
18055	10007775
18056	10007775
18057	10007760
18058	10007760
18059	10007760
18127	10007774
18128	10007774
18129	10007774
18130	10007760
18131	10007760
18132	10007760
18133	10007775
18134	10007775
18135	10007775
18136	10007788
18137	10007774
18138	10007774
18139	10007775
18140	10007775
18141	10000961
18142	10007775
18143	10007775
18144	10007774
18224	10007774
18225	10007825
18226	10007848
18227	10007775
18228	10007775
18229	10007775
18230	10007775
18231	10007775
18232	10004048
18260	10004048
18280	10000975
18294	10007774
18315	10007775
18316	10007775
18318	10007774
18319	10007775
18320	10007774
18322	10007774
18324	10003957
18325	10004048
18326	10004048
18327	10004048
18328	10004048
18350	10007775
18351	10007775
18352	10007775
18353	10007775
18354	10007775
18356	10007822
18358	10000961
18359	10000961
18360	10007775
18361	10007775
18362	10007775
18363	10007848
18364	10007775
18365	10007775
18366	10007775
18367	10007775
18368	10007775
18369	10007775
18370	10000961
18489	10007775
18490	10007775
18491	10007775
18492	10007775
18493	10007775
18494	10007775
18583	10007775
18584	10007775
18585	10007775
18586	10007775
18587	10007775
18590	10007775
18596	10007775
18597	10007760
18598	10007760
18599	10007760
18709	10007788
18734	10007760
18738	10007760
18760	10007760
18761	10007760
18762	10007814
18763	10007848
18764	10007760
18765	10007760
18766	10007851
18767	10007760
18768	10007760
18911	10007795
18928	10007139
18929	10007760
18930	10007139
18931	10003861
18932	10003861
18933	10003861
18937	10007760
18938	10007760
18939	10007775
18940	10007775
18941	10007760
18942	10007775
18943	10007760
18944	10007760
18945	10007760
18946	10007155
18948	10007851
19025	10007760
19026	10007760
19027	10007760
19028	10007760
19029	10004930
19031	10007851
19032	10007776
19033	10007776
19036	10007788
19037	10007788
19038	10004930
19040	10007823
19041	10007823
19049	10007775
19052	10007775
19055	10007775
19074	10007823
19082	10007823
19089	10004063
19092	10007774
19093	10007848
19095	10001726
19096	10001726
19100	10007800
19101	10007788
19102	10007143
19103	10007775
19104	10007775
19105	10007775
19106	10007775
19107	10007851
19143	10007156
19144	10007156
19231	10007774
19232	10007774
19233	10007774
19234	10007774
19235	10007774
19236	10007774
19237	10007774
19238	10007774
19239	10007774
19240	10007774
19241	10007774
19409	10007156
19410	10007156
19411	10007156
19412	10007156
19413	10007156
19414	10007156
19415	10007156
19416	10007156
19417	10007156
19548	10007799
19549	10007156
19565	10007760
19568	10006842
19574	10007788
19618	10007788
19656	10000961
19661	10007788
19662	10007788
19663	10007774
19664	10006842
19665	10007774
19667	10007788
19668	10007788
19669	10007774
19670	10007774
19671	10007788
19672	10007788
19673	10007774
19674	10007774
19676	10007788
19677	10007156
19678	10006842
19679	10006842
19680	10007788
19681	10007774
19682	10007788
19683	10007806
19712	10007788
19713	10007788
19747	10007806
19755	10007788
19795	10007788
19803	10007774
19830	10007774
19849	10007774
19850	10007788
19851	10007774
19852	10007788
19857	10007806
19858	10007788
19859	10007774
19862	10007139
19863	10007156
19864	10007858
19865	10007774
19867	10007139
19868	10007139
19869	10007139
19870	10007139
19871	10007806
19873	10007139
19875	10007139
19876	10007139
19877	10007156
19878	10007788
19879	10005337
19880	10007795
19946	10007156
19991	10005337
19994	10007774
19995	10007156
20045	10007795
20046	10007795
20047	10007795
20048	10007795
